"Method","Time (ms)","Own Time (ms)"
"com.google.protobuf.AbstractParser.parseFrom(CodedInputStream, ExtensionRegistryLite) AbstractParser.java","258","0"
"io.grpc.MethodDescriptor.parseRequest(InputStream) MethodDescriptor.java","258","0"
"io.grpc.protobuf.lite.ProtoLiteUtils$MessageMarshaller.parse(InputStream) ProtoLiteUtils.java","258","0"
"io.grpc.protobuf.lite.ProtoLiteUtils$MessageMarshaller.parse(InputStream) ProtoLiteUtils.java","258","0"
"io.grpc.protobuf.lite.ProtoLiteUtils$MessageMarshaller.parseFrom(CodedInputStream) ProtoLiteUtils.java","258","0"
"com.futurewei.alcor.schema.Goalstate$GoalStateV2.<init>(CodedInputStream, ExtensionRegistryLite) Goalstate.java","247","0"
"com.google.protobuf.TextFormat$Printer.printField(Descriptors$FieldDescriptor, Object, TextFormat$TextGenerator) TextFormat.java","245","0"
"com.google.protobuf.TextFormat$Printer.printFieldValue(Descriptors$FieldDescriptor, Object, TextFormat$TextGenerator) TextFormat.java","245","0"
"com.google.protobuf.TextFormat$Printer.printSingleField(Descriptors$FieldDescriptor, Object, TextFormat$TextGenerator) TextFormat.java","245","0"
"io.grpc.netty.shaded.io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext, Object) AbstractChannelHandlerContext.java","228","0"
"io.grpc.netty.shaded.io.netty.channel.DefaultChannelPipeline.fireChannelRead(Object) DefaultChannelPipeline.java","228","0"
"io.grpc.netty.shaded.io.netty.channel.AbstractChannelHandlerContext.fireChannelRead(Object) AbstractChannelHandlerContext.java","217","0"
"io.grpc.netty.shaded.io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(Object) AbstractChannelHandlerContext.java","217","0"
"io.grpc.netty.shaded.io.netty.channel.DefaultChannelPipeline$HeadContext.channelRead(ChannelHandlerContext, Object) DefaultChannelPipeline.java","217","0"
"io.grpc.netty.shaded.io.netty.channel.epoll.AbstractEpollStreamChannel$EpollStreamUnsafe.epollInReady() AbstractEpollStreamChannel.java","205","0"
"io.grpc.netty.shaded.io.netty.handler.codec.ByteToMessageDecoder.channelRead(ChannelHandlerContext, Object) ByteToMessageDecoder.java","205","0"
"org.apache.ignite.internal.binary.BinaryClassDescriptor.write(Object, BinaryWriterExImpl) BinaryClassDescriptor.java","200","0"
"com.google.protobuf.GeneratedMessageV3$FieldAccessorTable.ensureFieldAccessorsInitialized(Class, Class) GeneratedMessageV3.java","191","12"
"com.futurewei.alcor.schema.Goalstate$GoalStateV2$HostResourcesDefaultEntryHolder.<clinit>() Goalstate.java","190","0"
"org.apache.ignite.internal.binary.BinaryFieldAccessor.write(Object, BinaryWriterExImpl) BinaryFieldAccessor.java","190","22"
